Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1585.1839504000316
FDW14,OUT017,1445.403915296049
NCN55,OUT010,571.6685294004122
FDQ58,OUT017,2509.812356494329
FDY38,OUT027,5849.45067544027
FDH56,OUT046,1948.966953951586
FDL48,OUT018,750.0517967376928
FDC48,OUT027,2070.500486676856
FDN33,OUT045,1541.6478568605778
FDA36,OUT017,3065.4912606330845
FDT44,OUT017,1956.4957782119197
FDQ56,OUT045,1433.6930664666488
NCC54,OUT019,570.95621539991
FDU11,OUT049,2004.334894382876
DRL59,OUT013,843.2362595515348
FDM24,OUT049,2499.6906349507226
FDI57,OUT045,3098.0827498822646
DRC12,OUT018,3063.890532439843
NCM42,OUT027,2905.8030882498438
FDA46,OUT010,509.3221051474043
FDA31,OUT013,2830.73001838191
NCJ31,OUT035,3875.739238477861
FDG52,OUT046,751.0621739044714
NCL19,OUT019,290.7445285420224
FDS10,OUT035,3011.3588600461826
FDX22,OUT010,563.0925096860215
NCF19,OUT035,749.0259002823316
NCE06,OUT046,2559.5377919606644
DRC27,OUT046,3893.285739456241
FDE21,OUT035,1948.966953951586
NCR42,OUT019,131.3062330144766
FDX51,OUT018,3065.4912606330845
NCR06,OUT018,664.1451438680838
FDU31,OUT027,5855.528283606394
FDU59,OUT017,2565.7097138226322
FDR03,OUT027,5848.639217799583
FDS49,OUT027,1952.9636965276775
FDD48,OUT010,267.32912301063635
NCF18,OUT017,3063.890532439843
NCD43,OUT027,2856.201497553603
NCD54,OUT018,2160.9977164282
FDY19,OUT010,267.67423767735994
NCY54,OUT017,2830.73001838191
NCL19,OUT018,2485.5568340512423
FDP23,OUT010,571.3524481691094
FDC26,OUT013,1716.5783672667517
FDR14,OUT010,131.3062330144766
NCS41,OUT035,3065.4912606330845
FDF41,OUT035,3900.3768340825527
FDU34,OUT046,2004.334894382876
DRH11,OUT046,954.0943183587526
FDM03,OUT013,1580.6036561388132
FDS31,OUT017,3016.712801673662
FDJ20,OUT017,2004.334894382876
FDV44,OUT027,5198.328375257472
FDG02,OUT049,3065.4912606330845
FDA09,OUT013,2972.2056077731368
FDT04,OUT013,703.2500495040465
FDL58,OUT019,570.95621539991
FDE52,OUT045,1488.3792572141544
FDW12,OUT035,2485.5568340512423
FDL51,OUT017,3698.417968281911
NCY42,OUT027,3035.1652560591638
FDR07,OUT017,1541.6478568605778
FDN40,OUT045,2503.2659942739137
FDB35,OUT027,2671.894367052046
FDA22,OUT017,2567.0847696180285
NCL06,OUT046,4067.2832934823527
FDI35,OUT013,3016.712801673662
NCW42,OUT045,3777.6061099086055
NCX06,OUT049,2975.24275224712
FDC37,OUT027,2886.7431406503288
FDZ14,OUT018,2004.334894382876
DRG49,OUT049,3891.2650002520572
NCG06,OUT045,4026.8481366539777
DRC36,OUT045,2830.73001838191
FDV21,OUT019,280.1357522328171
FDB53,OUT046,2492.7015779085773
DRP47,OUT019,570.95621539991
FDA14,OUT013,2492.7015779085773
DRC24,OUT035,2503.2659942739137
FDW21,OUT018,1571.067087361975
NCH29,OUT046,1541.6478568605778
FDU58,OUT013,3065.4912606330845
FDY27,OUT017,2857.528328263627
FDV56,OUT035,1592.1378200338993
FDT59,OUT046,3813.417322694796
FDB23,OUT046,3800.4123925229237
FDR49,OUT045,749.0259002823316
FDB03,OUT010,571.7988164902986
FDN39,OUT045,2564.10898562939
FDX02,OUT027,5852.698481299204
FDQ16,OUT027,2883.042039755888
FDU35,OUT018,1546.213421547064
NCT29,OUT013,2004.334894382876
FDZ27,OUT046,751.0621739044714
FDN57,OUT017,2020.9530451822027
FDA03,OUT018,2492.7015779085773
FDZ36,OUT045,3065.4912606330845
NCU05,OUT013,1471.2606918997487
FDT39,OUT018,2499.6906349507226
FDK60,OUT017,1541.6478568605778
FDZ25,OUT017,2734.5637862740755
FDG12,OUT046,2004.334894382876
DRB01,OUT019,507.0291790584921
NCC43,OUT027,5849.45067544027
FDX13,OUT019,570.5098470787207
FDM22,OUT049,878.7861046824898
FDJ03,OUT027,1019.8578942798413
FDU14,OUT018,3792.4840534827504
FDB33,OUT010,378.8507041559792
FDP27,OUT046,3065.4912606330845
FDO38,OUT010,160.2963895277181
FDE28,OUT027,5849.45067544027
FDO27,OUT035,1541.6478568605778
DRL23,OUT027,2880.1004923670366
FDS28,OUT046,954.0943183587526
FDX24,OUT013,1546.280019733853
FDZ02,OUT035,1541.6478568605778
FDL46,OUT045,1948.966953951586
FDS60,OUT027,4830.707391642476
NCO06,OUT017,660.6818567181041
FDO16,OUT035,1425.3505301895636
FDC60,OUT049,1446.5461266462496
FDA48,OUT018,3538.447492785648
FDZ36,OUT027,5188.357515594173
FDK27,OUT045,2004.334894382876
FDW23,OUT018,661.5336329433852
FDM14,OUT018,1669.216956456408
FDM14,OUT013,1587.3826691287936
FDW60,OUT018,2859.686522235319
FDE21,OUT013,1948.966953951586
NCM42,OUT035,1592.1378200338993
FDY59,OUT010,227.13218326710728
DRI49,OUT049,1332.7330075856787
FDT28,OUT019,368.1016513569474
FDQ22,OUT018,662.311878220874
FDR60,OUT049,1266.0518160731735
FDC50,OUT019,237.45484827523393
FDV24,OUT013,2499.6906349507226
DRF48,OUT010,494.9641884806076
FDQ47,OUT046,665.1258887764074
DRN36,OUT049,1541.6478568605778
NCY06,OUT035,2004.334894382876
FDE52,OUT035,1488.3792572141544
NCB54,OUT045,2004.334894382876
NCF31,OUT035,2503.2659942739137
FDJ08,OUT027,5204.915820839573
NCC07,OUT017,1578.4133012691655
NCD19,OUT027,1205.1871375414496
FDL46,OUT049,1961.8561997690458
FDM20,OUT045,3897.2384034434654
NCI06,OUT010,451.23885738152063
DRM11,OUT035,4083.3082206029812
NCH07,OUT018,2542.7727589531105
FDS23,OUT013,2014.785131274897
FDO49,OUT018,750.0517967376928
FDS35,OUT049,1079.6690838701115
DRK39,OUT045,1380.0628624275064
DRI39,OUT049,936.6514817527991
FDV04,OUT017,2542.7727589531105
NCN14,OUT035,3059.1368308925685
FDH08,OUT013,3807.069038008978
FDS20,OUT046,3065.4912606330845
FDV40,OUT049,1138.79777555646
FDZ48,OUT010,255.0775519563995
FDS24,OUT027,2506.057543774123
FDK44,OUT049,2829.1292901886686
FDS48,OUT045,2495.109272520577
FDK26,OUT010,494.01817352408597
FDD23,OUT045,3065.4912606330845
NCH54,OUT017,2559.5377919606644
NCP14,OUT010,240.53850750103396
FDM60,OUT010,131.3062330144766
FDV24,OUT017,2499.6906349507226
FDH08,OUT018,3597.1365514257304
FDS12,OUT027,2995.4306336768186
FDR39,OUT027,4883.801036651226
FDP12,OUT027,947.4847174941483
DRF60,OUT027,5855.528283606394
FDC09,OUT035,1576.009912515245
FDF50,OUT018,3070.4551493401186
FDG28,OUT035,3902.197091338555
NCE19,OUT017,925.8867905074143
NCM53,OUT010,249.08400809771683
NCN18,OUT049,1683.009048546872
FDF32,OUT035,3116.373941488718
FDF11,OUT013,3873.957072275186
DRI59,OUT049,3793.332035364257
NCG54,OUT035,2738.165327211647
FDM44,OUT046,1573.6609101452843
FDT57,OUT018,3641.1077256908693
